id,group,index,topology,oc,pump_mW,GDD_ps2,rounds,status,energy_pJ,energy_mean_pJ,energy_min_pJ,energy_max_pJ,energy_cv,peaks,single_tail,residual,edge_max,spectral_edge_max,FWHM_ps,CNT_energy_pJ,CNT_peak_W,inversion_gap,inversion_drift,numerical_pass,energy_range_pass,screen_candidate,dt_ps,source
g08_c29,8,29,CNT_OC,0.5,50.0,0.2,80,spectral_boundary,1547.4116826865193,1511.2462469999432,259.3891410478117,3002.2020025500087,0.6378424449532466,30,False,0.6900368099015374,2.6422420681880443e-08,0.0003516383881524716,0.75,3650.1730559067314,227.80175771165415,0.23491719060574534,9.367675839122569e-05,False,False,False,0.125,fine_group_08.mat
g08_c30,8,30,CNT_OC,0.5,100.0,0.2,60,spectral_boundary,3174.8733877654136,1787.1452680764846,259.3891410478117,4614.821552801513,0.8187236406637902,57,False,0.7053266596839816,3.1415715407342537e-07,0.0028609608641183434,0.375,7414.391562835143,571.1364217299957,0.22869819931755142,0.003902573132621656,False,False,False,0.125,fine_group_08.mat
g08_c31,8,31,CNT_OC,0.5,150.0,0.2,60,spectral_boundary,2629.0455165800186,2124.579205642158,259.3891410478117,5775.9131414282965,0.8092038310513713,50,False,0.7725193901803812,3.2276009116969064e-07,0.005753092720241546,0.75,6156.106513590889,381.28672949591544,0.26483706262780227,0.007742721024228905,False,False,False,0.125,fine_group_08.mat
g08_c32,8,32,CNT_OC,0.6,5.0,0.2,600,completed,0.0003906769283177102,0.001774767316504956,0.0003906769283177102,0.0049241530628200865,0.7085674202293714,1,True,0.026041185638228034,1.1192563100277192e-23,1.3139640743474934e-30,74.5,0.0007929532506797548,1.0008971097286212e-05,0.47679254212939226,0.0001868740915452749,True,False,False,0.125,fine_group_08.mat
g08_c33,8,33,CNT_OC,0.6,10.0,0.2,600,completed,0.7963727380028163,0.6994547947565981,0.6680771789176714,0.7963727380028163,0.050495832802141,1,True,0.004786499215248707,7.7715871205835e-24,1.2640642111512562e-30,73.25,1.6163553767150138,0.020753515150021887,0.3552860880673753,0.000989020935435292,True,False,False,0.125,fine_group_08.mat
g08_c34,8,34,CNT_OC,0.6,15.0,0.2,600,completed,2036.3613954951513,547.3689989889015,92.66344819789659,2036.3613954951513,0.9246955630612644,1,True,0.04253885845348003,1.4297754994822522e-24,1.2929249446424476e-30,54.5,4013.0243155888215,67.68268964976166,0.18088955999481576,0.0007729833042834366,True,False,False,0.125,fine_group_08.mat
g08_c35,8,35,CNT_OC,0.6,20.0,0.2,600,completed,45.300524660923124,362.42009479266096,45.300524660923124,1438.7760451355196,1.0028762609973574,1,True,0.036705568091770543,8.507032529242899e-25,1.1848504978756929e-30,35.25,91.73174004546851,2.400711525595566,0.2803722356650987,0.001018684391674185,True,False,False,0.125,fine_group_08.mat
g08_c36,8,36,CNT_OC,0.6,30.0,0.2,600,completed,1074.3399526140336,1131.6586245252686,849.2814656092328,1263.0119186035513,0.10631054040874242,1,True,0.0067133923678417366,9.48299616499926e-25,1.043422869449535e-30,28.25,2118.9742677954064,66.71253724468099,0.1667209582081145,0.0009317160951797243,True,False,False,0.125,fine_group_08.mat
g08_c37,8,37,CNT_OC,0.6,50.0,0.2,600,completed,1970.0707810211272,3140.3433052035025,1970.0707810211272,4229.654263996573,0.2319615260072436,7,False,0.1689137604844987,3.340885276450284e-15,5.738564098694079e-11,28.25,3914.4517077674705,59.17516338657413,0.12516518676648125,0.006846757465875819,True,False,False,0.125,fine_group_08.mat
g08_c38,8,38,CNT_OC,0.6,100.0,0.2,80,spectral_boundary,1731.0239774740105,2274.5004585931592,258.86539125128274,5992.6969928757235,0.7998227743745963,23,False,0.7558392279852658,1.2737754426879543e-07,0.00138471715735904,1.0,3393.3439262858583,299.6001738285324,0.26462576350996236,0.0041656887365408846,False,False,False,0.125,fine_group_08.mat
