round,energy_pJ,cnt_peak_W,cnt_q_min,inversion_gap,tau_max_us,peaks,time_edge,spectral_edge,dt_ps,n,gain_age_min,gain_memory_max
6854,1399.040894313218,42.4529468446661,0.024259446787098245,0.03513230378152832,189.99816985675096,2,1.3631678979682995e-22,1.794561357167904e-30,0.03125,65536,4.110047313316417,0.01640699823842931
6855,1373.7020213283868,41.87661162175534,0.02443025000767323,0.037538750229763385,193.03692713587023,2,1.3936657080523472e-22,1.8814298159259767e-30,0.03125,65536,4.110578184793166,0.016398290542583637
6856,1349.0540605918927,41.30889910538963,0.024600852668422397,0.03991884978626803,196.0882251534615,2,1.424777678985048e-22,1.7605143290956192e-30,0.03125,65536,4.111101191792437,0.016389716364226883
6857,1325.0865819471144,40.750233936778145,0.024771082554171427,0.04227129893117876,199.14987147603972,2,1.4565127231680068e-22,1.7838574689870157e-30,0.03125,65536,4.111616550180937,0.016381271962546958
6858,1301.7889204010778,40.200800448648074,0.024940813721635074,0.04459484560809934,202.2196189102843,2,1.4888813202648358e-22,1.7041910051123232e-30,0.03125,65536,4.112124472565914,0.016372953660527517
6859,1279.1502163719622,39.66085728341261,0.025109893545949776,0.04688829022989127,205.29516888221235,2,1.5218808515969513e-22,1.6675774530790345e-30,0.03125,65536,4.112625168227662,0.016364757845635385
6860,1257.1594544651775,39.13070623526407,0.02527814978579173,0.049150486373997326,208.37417488103856,2,1.555513376161833e-22,1.6645020972915028e-30,0.03125,65536,4.113118843064435,0.016356680970316208
6861,1235.8055006792417,38.610442723095495,0.025445469980791828,0.05138034118593404,211.45424596061486,2,1.5897768811629002e-22,1.7015073931372593e-30,0.03125,65536,4.11360569954927,0.016348719552306688
6862,1215.0771378954612,38.100302494001156,0.02561171466506956,0.053576815507105024,214.53295029041038,2,1.6246848399845863e-22,1.686753290751422e-30,0.03125,65536,4.1140859366981966,0.016340870174772485
6863,1194.9630996651613,37.60043428929193,0.025776714478152635,0.055738923721563194,217.6078187179821,2,1.660236816663165e-22,1.6873996736991893e-30,0.03125,65536,4.1145597500493265,0.016333129486280188
6864,1175.452102069068,37.110907290508656,0.025940368744321863,0.05786573335274314,220.6763483512804,2,1.6964455921819453e-22,1.6673872514467797e-30,0.03125,65536,4.115027331652268,0.016325494200612613
6865,1156.5328731770308,36.63192562713507,0.026102548953747074,0.05995636448621733,223.73600623541233,2,1.733325673605228e-22,1.640275305058051e-30,0.03125,65536,4.115488870067113,0.016317961096439907
6866,1138.1941800595137,36.16350695418785,0.026263100834724523,0.06200998905558075,226.78423315028957,2,1.7708885889095755e-22,1.6814401154234504e-30,0.03125,65536,4.115944550372225,0.016310527016859134
6867,1120.4248536018383,35.70571368639996,0.026421924151170003,0.0640258299907196,229.8184475021619,2,1.809149543714986e-22,1.679541745572625e-30,0.03125,65536,4.116394554180112,0.016303188868814013
6868,1103.213811118189,35.258693689509286,0.02657890573010062,0.06600316025610209,232.83604932191574,2,1.8481184275250288e-22,1.6800882297890327e-30,0.03125,65536,4.116839059660668,0.016295943622406453
6869,1086.5500768872541,34.82238683424324,0.026733906643369033,0.06794130179766711,235.83442437018698,2,1.8878079502133827e-22,1.7475646206276668e-30,0.03125,65536,4.117278241571085,0.016288788310111196
6870,1070.4228011525768,34.39686468208416,0.02688682734975725,0.06983962436296187,238.81094826620594,2,1.9282205125171632e-22,1.723737114766316e-30,0.03125,65536,4.1177122712919125,0.016281720025902006
6871,1054.8212779359635,33.98216867909331,0.02703757008521846,0.07169754416768737,241.76299056550306,2,1.9693761408273356e-22,1.7395816840213185e-30,0.03125,65536,4.118141316868868,0.016274735924295756
6872,1039.7349616879003,33.57823681745981,0.02718601104569735,0.073514522415557,244.68791876074934,2,2.0112694153042855e-22,1.7386907504559658e-30,0.03125,65536,4.118565543060016,0.016267833219320293
6873,1025.153482970196,33.18513412633207,0.02733205177433031,0.0752900636638133,247.58310215428145,2,2.0538936783792987e-22,1.7344558961594637e-30,0.03125,65536,4.118985111388033,0.016261009183410773
6874,1011.0666633674982,32.80281223004901,0.027475609528090847,0.07702371402707453,250.44591554923232,2,2.0972603746373954e-22,1.797099827659266e-30,0.03125,65536,4.119400180197305,0.01625426114623822
6875,997.4645294919751,32.43121336999949,0.027616574972063906,0.07871505924479227,253.27374276270544,2,2.141374821443843e-22,1.8247663921137566e-30,0.03125,65536,4.1198109047155995,0.016247586493474294
6876,984.3373258830757,32.07040249671492,0.027754851247908635,0.0803637226422923,256.0639799785932,2,2.1862456348092637e-22,1.7993678360609453e-30,0.03125,65536,4.120217437120022,0.01624098266549702
6877,971.67552657633,31.720255873820413,0.027890369829955023,0.0819693630299696,258.81403898554163,2,2.231874258519878e-22,1.871787062609753e-30,0.03125,65536,4.120619926606872,0.016234447156043205
6878,959.4698449017014,31.38074407320819,0.028023034812333866,0.08353167263016781,261.52135042789706,2,2.2783082881057824e-22,1.832663997822011e-30,0.03125,65536,4.121018519464875,0.016227977510816022
6879,947.711241279995,31.05188127016161,0.028152751565945155,0.08505037510458358,264.1833671810898,2,2.325535341762108e-22,1.7987586008368242e-30,0.03125,65536,4.12141335915114,0.016221571326058146
6880,936.390929273394,30.73353714058554,0.028279464617503393,0.08652522368934368,266.7975678567249,2,2.373595162893347e-22,1.8475622412089377e-30,0.03125,65536,4.121804586369251,0.016215226247099594
6881,925.5003802223824,30.42570162167374,0.028403090122711565,0.08795599942935017,269.36146041390754,2,2.4224922902688196e-22,1.830587010670535e-30,0.03125,65536,4.1221923391489765,0.016208939966888478
6882,915.0313268379023,30.128327209531594,0.02852353642267462,0.08934250949486,271.87258583454206,2,2.4722430467415893e-22,1.7677772442347363e-30,0.03125,65536,4.122576752927214,0.016202710224510697
6883,904.9757664658847,29.841303363070644,0.028640759630248994,0.09068458550510217,274.32852171206383,2,2.5228541082491894e-22,1.766449915920172e-30,0.03125,65536,4.122957960629977,0.016196534803701257
6884,895.3259647110386,29.564636141801437,0.028754686328460073,0.09198208176430878,276.7268855613745,2,2.57437100508458e-22,1.7509359516223947e-30,0.03125,65536,4.123336092755509,0.016190411531345632
6885,886.074459572639,29.298226206488142,0.028865228674978146,0.09323487336878189,279.06533775059984,2,2.6267890182087035e-22,1.7985965344317306e-30,0.03125,65536,4.123711277458723,0.01618433827596784
6886,877.214065880839,29.041986093408386,0.028972352662655812,0.09444285419446075,281.3415840490211,2,2.6801275014439747e-22,1.8078699977393803e-30,0.03125,65536,4.124083640637104,0.01617831294620249
6887,868.737879627348,28.795941663384287,0.029075993460867915,0.09560593481888502,283.5533778713714,2,2.7343870287696087e-22,1.7956398691958496e-30,0.03125,65536,4.124453306018155,0.016172333489249686
6888,860.6392815719174,28.559950035207873,0.02917606799334798,0.09672404048072702,285.698522399975,2,2.7895887976049046e-22,1.7952284789753096e-30,0.03125,65536,4.124820395248184,0.016166397889315398
6889,852.9119396536921,28.33396816150312,0.02927255024732103,0.09779710917247364,287.7748727641226,2,2.845721826917361e-22,1.810368391314704e-30,0.03125,65536,4.1251850279821,0.016160504166042956
6890,845.5498101643543,28.117989360599264,0.029365381988456854,0.0988250899071631,289.7803383590233,2,2.902821221784816e-22,1.692621344675404e-30,0.03125,65536,4.1255473219737855,0.01615465037294206
6891,838.547137861433,27.91188970245877,0.02945448596032964,0.09980794116837244,291.7128853265039,2,2.960881679648899e-22,1.7852026069303106e-30,0.03125,65536,4.125907393166674,0.016148834595821313
6892,831.8984553749982,27.715656946789426,0.029539842136834017,0.10074562951973831,293.57053915495624,2,3.0199182377133386e-22,1.781526685682969e-30,0.03125,65536,4.126265355784231,0.016143054951228974
6893,825.5985825231447,27.529247376311798,0.029621396794242527,0.1016381282954194,295.35138724623823,2,3.0799263880378593e-22,1.7451285188386718e-30,0.03125,65536,4.126621322420236,0.016137309584903156
6894,819.642626050513,27.352569121245015,0.029699079658843424,0.10249611238637313,297.05358128365776,2,3.140923107755875e-22,1.7598538567672007e-30,0.03125,65536,4.126975404128994,0.016131596670229564
6895,814.0259798858932,27.185639549770904,0.029772874613512405,0.10337330026699398,298.67533933635053,2,3.2029176900440575e-22,1.6943617900763237e-30,0.03125,65536,4.127327710515622,0.016125914406703783
6896,808.7443258055117,27.028383397437036,0.029842730310920756,0.10420277755671747,300.21494770882816,2,3.2658932668098075e-22,1.634125152792267e-30,0.03125,65536,4.1276783498266,0.01612026101839533
6897,803.7936343410054,26.880742724370496,0.029908584739994467,0.10498436189186089,301.67076258333066,2,3.329879641391484e-22,1.634051562460162e-30,0.03125,65536,4.1280274290406815,0.01611463475241163
6898,799.1701656880172,26.742766837033656,0.029970423590778467,0.10571787949859501,303.0412115459378,2,3.3948773106031064e-22,1.6778076784941142e-30,0.03125,65536,4.128375053960177,0.016109033877361397
6899,794.8704704551083,26.61435348375633,0.03002819575071822,0.10640316393039329,304.32479507021,2,3.4609061375652366e-22,1.6167398970672506e-30,0.03125,65536,4.128721329302582,0.016103456681818073
6900,790.8913902830092,26.495498475426327,0.030081848880775156,0.10704005488753454,305.52008797567385,2,3.527974988373012e-22,1.675540035671466e-30,0.03125,65536,4.1290663587924845,0.01609790147278406
6901,787.2300583951035,26.386231243767682,0.03013136839212046,0.10762839712260897,306.6257408680506,2,3.596094200722444e-22,1.644267209376245e-30,0.03125,65536,4.129410245253723,0.016092366574156112
6902,783.8839001661157,26.28648040142136,0.03017670129299762,0.10816803942867115,307.6404815546629,2,3.6652843631284673e-22,1.67617435550726e-30,0.03125,65536,4.129753090701784,0.016086850325192095
6903,780.8506339031419,26.196281363542283,0.030217806472052827,0.10865883368180718,308.56311638162373,2,3.735548422606331e-22,1.6431408199621706e-30,0.03125,65536,4.130094996436472,0.016081351078978328
6904,778.1282719463517,26.11563977831847,0.030254667025727405,0.10910063391684643,309.392531453351,2,3.8068596334378883e-22,1.633118299708296e-30,0.03125,65536,4.130436063134979,0.016075867200895547
6905,775.7151219826002,26.0445244261356,0.030287226026974524,0.10949329545032105,310.1276937632641,2,3.879234267461032e-22,1.6203901192228588e-30,0.03125,65536,4.130776390945416,0.01607039706708232
6906,773.6097884384084,25.983009931827716,0.03031545531598407,0.10983667407742492,310.76765228796773,2,3.952661164583136e-22,1.5599228065382222e-30,0.03125,65536,4.131116079580851,0.01606493906289518
