grid,id,group,index,topology,oc,pump_mW,GDD_ps2,rounds,status,energy_pJ,energy_mean_pJ,energy_min_pJ,energy_max_pJ,energy_cv,peaks,single_tail,residual,edge_max,spectral_edge_max,FWHM_ps,CNT_energy_pJ,CNT_peak_W,inversion_gap,inversion_drift,numerical_pass,energy_range_pass,screen_candidate
coarse,g06_c10,6,10,CNT_OC,0.3,15.0,0.0,40,spectral_boundary,438.85236300921605,495.0985414349634,261.02751110415124,680.5524771883212,0.2733546046203876,6,False,0.5494070201955326,4.4561797777198224e-07,0.20969820198083328,2.0,1727.1260986718844,211.78003875762494,0.19385403693852987,0.0006403586193840516,False,False,False
coarse,g06_c11,6,11,CNT_OC,0.3,20.0,0.0,40,spectral_boundary,501.8994725098239,506.06053820344914,261.02751110415124,696.7721056909377,0.278291025027918,4,False,0.7294864030017395,8.080557702911499e-07,0.09618497101903936,1.0,1969.4750731160898,500.59422616866624,0.2166517536629674,0.0003522856345117287,False,False,False
coarse,g06_c12,6,12,CNT_OC,0.3,30.0,0.0,40,spectral_boundary,521.4191873448502,521.5217430009229,261.02751110415124,729.9468645001464,0.29247005550395383,8,False,0.6729870330322132,1.4641149930558522e-06,0.13796965898982325,1.0,2046.81008728228,284.38641994978263,0.26277147354714825,0.00024630428238836544,False,False,False
coarse,g06_c13,6,13,CNT_OC,0.3,50.0,0.0,40,spectral_boundary,682.3697139538835,565.0058635702537,261.02751110415124,799.1043335265608,0.3249931123574267,8,False,0.9291261634410565,4.791192967820274e-07,0.06632148619326436,1.5,2668.0113975782497,344.9188138846541,0.2888446880303911,0.001403660359908021,False,False,False
coarse,g06_c14,6,14,CNT_OC,0.3,100.0,0.0,40,spectral_boundary,895.8289925020651,656.0038133998385,261.02751110415124,985.6586116914611,0.3893705855574035,11,False,0.8140391962304206,7.976034262984073e-07,0.1861548055390681,1.0,3494.228589556197,538.1881018931662,0.31868765282713796,0.004352527766864678,False,False,False
coarse,g06_c15,6,15,CNT_OC,0.3,150.0,0.0,40,spectral_boundary,1431.2523764419132,807.5601594996323,261.02751110415124,1431.2523764419132,0.4900402296973649,9,False,0.8786188689345853,8.69920380929629e-07,0.11724419721564969,1.0,5555.296438389019,1006.3607753700559,0.30498399649239305,0.007118254433966076,False,False,False
coarse,g06_c16,6,16,CNT_OC,0.4,5.0,0.0,40,spectral_boundary,690.4591051883835,516.4765512644453,260.078018111651,739.004969738084,0.3195749031215528,1,True,0.042953535959948046,2.072912187591077e-10,0.0010705063327825241,14.0,2032.2599589750203,112.74716941462839,0.15265155809231734,0.0011083998171531606,False,False,False
coarse,g06_c17,6,17,CNT_OC,0.4,10.0,0.0,40,spectral_boundary,712.7655654112248,526.6196809244624,260.078018111651,764.7036313670419,0.33077183644765007,1,True,0.04800482263438593,4.845187566829705e-10,0.002261607867875995,14.0,2097.262253549173,116.00025108325735,0.1509189595309569,0.0008114928410536404,False,False,False
coarse,g06_c18,6,18,CNT_OC,0.4,15.0,0.0,40,spectral_boundary,734.9230059818917,536.9373651988565,260.078018111651,790.9353000633503,0.34181391430138464,2,False,0.06299429498047691,1.097454312005852e-09,0.004534954655290551,14.0,2161.8283494748166,119.67608543790568,0.16268139836651874,0.0005149924426454122,False,False,False
coarse,g06_c19,6,19,CNT_OC,0.4,20.0,0.0,40,spectral_boundary,756.8506727599276,547.4242126224817,260.078018111651,817.6770274797382,0.35268319086421185,2,False,0.0882507982571956,2.365559654966449e-09,0.0084927741007035,13.5,2225.7244054097214,123.1899310370229,0.19865934890896342,0.000218883605241027,False,False,False
coarse,g06_c20,6,20,CNT_OC,0.4,30.0,0.0,40,spectral_boundary,799.5856861339907,568.8779318023842,260.078018111651,872.5808570673316,0.3738367457448859,3,False,0.23709830163841217,8.649744323246794e-09,0.024274320922460343,12.0,2350.2375133928176,146.911749726112,0.242829864920591,0.0003722365757561352,False,False,False
coarse,g06_c21,6,21,CNT_OC,0.4,50.0,0.0,40,spectral_boundary,877.8034418755832,613.521721716307,260.078018111651,987.086211477709,0.41349565634266,5,False,0.5324829968352793,9.211683230646297e-08,0.12204088588317885,1.0,2576.9826166136327,395.26021731282344,0.28550797972324693,0.0015506413539919661,False,False,False
coarse,g06_c22,6,22,CNT_OC,0.4,100.0,0.0,40,spectral_boundary,1179.412855363537,740.165516806569,260.078018111651,1295.8399915010107,0.50193030606432,7,False,0.62773170466343,3.2314165922395784e-07,0.11486731663261651,1.0,3450.7955855777964,608.1135925166404,0.3106138437555813,0.004458118366986619,False,False,False
coarse,g06_c23,6,23,CNT_OC,0.4,150.0,0.0,40,spectral_boundary,1682.1703862308123,893.9661850972592,260.078018111651,1682.1703862308123,0.5802807281252891,9,False,0.74119803123875,1.1650839116921418e-06,0.14436460551591065,1.0,4905.438808751329,674.0099640951024,0.3047103696485227,0.0072965261736814835,False,False,False
coarse,g06_c24,6,24,CNT_OC,0.5,5.0,0.0,60,spectral_boundary,342.41737848240143,547.1973712886148,259.38910299528317,838.5874178901665,0.34090500333477797,5,False,0.46038552764738666,4.364976169806487e-08,0.07184758336338812,2.5,817.0086731390548,97.81290662925879,0.1872796850712622,0.0015341552079084497,False,False,False
coarse,g06_c25,6,25,CNT_OC,0.5,10.0,0.0,60,spectral_boundary,365.86646215663916,563.5352030005282,259.38910299528317,877.255266515562,0.35073641322294286,5,False,0.4488885232462865,4.420346828461211e-08,0.07813224882537283,1.0,872.3183966352458,95.17747778390404,0.2049174330917457,0.0010996492113453105,False,False,False
coarse,g06_c26,6,26,CNT_OC,0.5,15.0,0.0,60,spectral_boundary,389.0744260286949,580.04267834218,259.38910299528317,916.9013520371885,0.36071237548272567,4,False,0.4035958600526835,8.063110262785382e-08,0.08480396171853286,2.5,927.2182193341839,111.20959307378851,0.24712724157762356,0.0006656858825203615,False,False,False
coarse,g06_c27,6,27,CNT_OC,0.5,20.0,0.0,60,spectral_boundary,402.30343353438025,596.2523169225681,259.38910299528317,957.4496789611708,0.371481044040234,5,False,0.5115374135224204,9.388403078450737e-08,0.0962614897128634,1.5,958.6149130404692,133.85028573432768,0.27247776059678663,0.00023068346923560412,False,False,False
coarse,g06_c28,6,28,CNT_OC,0.5,30.0,0.0,40,spectral_boundary,1036.1259420446727,580.7633206487251,259.38910299528317,1036.1259420446727,0.4286810314394068,1,True,0.04993765904377106,6.339537438060187e-16,1.8662795517091724e-08,14.5,2433.320864361851,137.98491772893829,0.2340415520496848,0.000498898319463259,False,False,False
coarse,g06_c29,6,29,CNT_OC,0.5,50.0,0.0,40,spectral_boundary,1213.8333794984599,636.459417107091,259.38910299528317,1213.8333794984599,0.48376270326935733,1,True,0.05692309142173635,1.2436838111984187e-13,1.5956903494518928e-06,14.5,2845.9346039893653,159.3951429639381,0.26827169671163775,0.001663696439824669,False,False,False
coarse,g06_c30,6,30,CNT_OC,0.5,100.0,0.0,40,spectral_boundary,1665.6268477624833,797.6468609148218,259.38910299528317,1684.4485827317667,0.6022896163850262,3,False,0.14804619356059923,4.879384814940445e-09,0.013392349555018779,12.5,3894.2285393216443,237.8757642978618,0.29063429894791426,0.004530790610867141,False,False,False
coarse,g06_c31,6,31,CNT_OC,0.5,150.0,0.0,40,spectral_boundary,2117.3427466620647,985.3257698827347,259.38910299528317,2180.6761389451976,0.6879184988167588,6,False,0.7929912084033666,1.3296655886184892e-07,0.09521772707998236,1.5,4937.431255362257,956.493552114206,0.2919453334067783,0.0073437608176559754,False,False,False
coarse,g06_c32,6,32,CNT_OC,0.6,5.0,0.0,60,spectral_boundary,543.8760111634718,615.6955715892993,258.8653428843953,956.4990479015751,0.3724117562585463,5,False,0.2650761852880674,2.6556924748688253e-08,0.03209466142537767,1.5,1076.8827351626041,138.09888830925127,0.21089725929901532,0.0015823021922588554,False,False,False
coarse,g06_c33,6,33,CNT_OC,0.6,10.0,0.0,60,spectral_boundary,570.647075826875,637.5573887884577,258.8653428843953,1013.4659246479816,0.3889785155858717,5,False,0.2956373783050103,3.417312866933156e-08,0.036100325849208754,2.0,1129.4838766827459,114.50503408785642,0.2059233338231058,0.0011598494403405324,False,False,False
coarse,g06_c34,6,34,CNT_OC,0.6,15.0,0.0,60,spectral_boundary,599.9195964143807,659.900343309037,258.8653428843953,1071.855674665705,0.40471624286797,5,False,0.3219666991741161,4.43609969868774e-08,0.041928261785894434,2.5,1186.8693157109594,111.09220649811938,0.21528763535952078,0.0007387692981822847,False,False,False
coarse,g06_c35,6,35,CNT_OC,0.6,20.0,0.0,60,spectral_boundary,628.9624591078483,682.6671671822611,258.8653428843953,1131.358615081393,0.4196890265648545,4,False,0.388376853182938,2.58669062217809e-08,0.04866462394606782,2.5,1243.8950175769937,110.83513364225438,0.24004881210920637,0.00031886061701402735,False,False,False
coarse,g06_c36,6,36,CNT_OC,0.6,30.0,0.0,60,spectral_boundary,691.9722771731521,729.7412477058855,258.8653428843953,1253.6782190232018,0.4472381081592138,6,False,0.5193330034300339,4.7834500555413914e-08,0.057876861102126934,1.0,1367.1616873723788,141.64358382482118,0.2657601289777062,0.000516636552117089,False,False,False
coarse,g06_c37,6,37,CNT_OC,0.6,50.0,0.0,60,spectral_boundary,826.8592714672052,828.7466720773325,258.8653428843953,1510.8184320871248,0.49426994622263165,5,False,0.6080653789638596,4.4534827014184357e-08,0.0773338695159343,2.5,1631.1294492372929,165.49992580920855,0.28459732726460607,0.0021739455946352404,False,False,False
coarse,g06_c38,6,38,CNT_OC,0.6,100.0,0.0,60,spectral_boundary,1855.314698124644,1183.9810818295773,258.8653428843953,2198.5582419929046,0.5821402766576936,6,False,0.7677470093136962,3.3320617744462174e-07,0.08724212475638145,1.0,3622.8319885877045,693.3904907909007,0.2697345885334266,0.006017024319663333,False,False,False
coarse,g06_c39,6,39,CNT_OC,0.6,150.0,0.0,40,spectral_boundary,2919.763923899296,1052.2961310188068,258.8653428843953,2919.763923899296,0.7894136374573972,1,True,0.09637949064675828,1.185770733874885e-10,0.0006385161257440003,15.5,5667.499552824102,302.52704362187495,0.2692406720348428,0.0073603122450661695,False,False,False
coarse,g06_c40,6,40,CNT_OC,0.7,5.0,0.0,60,spectral_boundary,953.6188809096998,670.7374154862632,258.4530522091942,1110.7587219229165,0.4391703962771667,1,True,0.06222855973882676,8.287904130787753e-11,0.0007874400105090601,10.5,1607.663271924329,102.9411334158821,0.2426412757240537,0.0016200694400874127,False,False,False
coarse,g06_c41,6,41,CNT_OC,0.7,10.0,0.0,60,spectral_boundary,990.832917304288,701.3655379526224,258.4530522091942,1193.9586830091187,0.4612333378435882,2,False,0.09265871999987109,4.209155610256653e-10,0.0027051533823851366,10.5,1670.2243636313347,107.92038295210935,0.23803882443470342,0.001218880067879624,False,False,False
coarse,g06_c42,6,42,CNT_OC,0.7,15.0,0.0,60,spectral_boundary,1020.545525547034,732.4983136198451,258.4530522091942,1278.9654558138884,0.48180567276038194,2,False,0.1485431226372647,1.9858787629664914e-09,0.007477457625471561,7.5,1720.3376850276181,123.60814606210727,0.23372530487444215,0.0008189296346234887,False,False,False
coarse,g06_c43,6,43,CNT_OC,0.7,20.0,0.0,60,spectral_boundary,1045.2488586902255,764.0320357494801,258.4530522091942,1366.5008168208071,0.5009458235957615,3,False,0.21763858593603003,7.969167269296684e-09,0.015764606322657422,1.0,1762.0455958710788,168.57116901246323,0.22960732833734004,0.00041998105571783295,False,False,False
coarse,g06_c44,6,44,CNT_OC,0.7,30.0,0.0,60,spectral_boundary,1102.1447553726332,828.3732565703209,258.4530522091942,1546.2005958450482,0.535349596231275,4,False,0.2820647061688445,9.780309489613983e-09,0.023211950494597906,1.0,1857.5532977329658,227.83968291361484,0.2265770835047427,0.0003745426522544504,False,False,False
coarse,g06_c45,6,45,CNT_OC,0.7,50.0,0.0,60,spectral_boundary,1273.7803550365097,963.4185151524929,258.4530522091942,1921.4081752292861,0.5910364143441416,4,False,0.40514603504417673,3.015336526583215e-08,0.044464195010464724,3.0,2144.3423738424194,159.67643938288614,0.2480977128392018,0.0019466625500070833,False,False,False
coarse,g06_c46,6,46,CNT_OC,0.7,100.0,0.0,60,spectral_boundary,1961.2438951418992,1346.5977113155868,258.4530522091942,2912.9476671836637,0.6768646877009107,11,False,0.6134307503155524,1.3081372319986113e-07,0.07602880321972535,1.0,3288.5120775369815,206.58225748976224,0.25133478230077044,0.005757856117377669,False,False,False
coarse,g06_c47,6,47,CNT_OC,0.7,150.0,0.0,60,spectral_boundary,3499.991835743501,1911.030221630706,258.4530522091942,3953.656470574941,0.7362730934958047,11,False,0.761659299373406,3.506437736538941e-07,0.0878111291628492,1.0,5833.127524038145,882.5830375973787,0.23330551012884793,0.009108839094220889,False,False,False
coarse,g06_c48,6,48,CNT_OC,0.8,5.0,0.0,80,spectral_boundary,502.0469647956295,750.9691319305897,258.11942051571174,1332.4974946126936,0.4644785257169728,5,False,0.17952641417576923,9.63072770706561e-09,0.01118092060116022,1.5,749.547181335882,74.60463328510919,0.2962066001431146,0.0023228041709513203,False,False,False
coarse,g06_c49,6,49,CNT_OC,0.8,10.0,0.0,80,spectral_boundary,557.7787741421294,793.0999906400963,258.11942051571174,1456.3082010839369,0.4870695077164275,4,False,0.1838439149768227,1.0821082929344429e-08,0.01008049367103163,1.0,831.6748386053216,85.90251044783855,0.28087409842290695,0.0018280590924578677,False,False,False
